GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHH,AIANHHA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CDA,C_CITYA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,DIVISION,DIVISIONA,MSA_CMSA,MSA_CMSAA,PLACE,PLACEA,PMSA,PMSAA,REGION,REGIONA,STATE,STATEA,URBRURALA,URB_AREA,URB_AREAA,CD103A,ANPSADPI,ET1001
"G010","1990",,,,,,,,,,,,,,,,,"6",,,,,,,,"3","Alabama","01",,,,,"Alabama",4040587
"G020","1990",,,,,,,,,,,,,,,,,"9",,,,,,,,"4","Alaska","02",,,,,"Alaska",550043
"G040","1990",,,,,,,,,,,,,,,,,"8",,,,,,,,"4","Arizona","04",,,,,"Arizona",3665228
"G050","1990",,,,,,,,,,,,,,,,,"7",,,,,,,,"3","Arkansas","05",,,,,"Arkansas",2350725
"G060","1990",,,,,,,,,,,,,,,,,"9",,,,,,,,"4","California","06",,,,,"California",29760021
"G080","1990",,,,,,,,,,,,,,,,,"8",,,,,,,,"4","Colorado","08",,,,,"Colorado",3294394
"G090","1990",,,,,,,,,,,,,,,,,"1",,,,,,,,"1","Connecticut","09",,,,,"Connecticut",3287116
"G100","1990",,,,,,,,,,,,,,,,,"5",,,,,,,,"3","Delaware","10",,,,,"Delaware",666168
"G110","1990",,,,,,,,,,,,,,,,,"5",,,,,,,,"3","District Of Columbia","11",,,,,"District of Columbia",606900
"G120","1990",,,,,,,,,,,,,,,,,"5",,,,,,,,"3","Florida","12",,,,,"Florida",12937926
"G130","1990",,,,,,,,,,,,,,,,,"5",,,,,,,,"3","Georgia","13",,,,,"Georgia",6478216
"G150","1990",,,,,,,,,,,,,,,,,"9",,,,,,,,"4","Hawaii","15",,,,,"Hawaii",1108229
"G160","1990",,,,,,,,,,,,,,,,,"8",,,,,,,,"4","Idaho","16",,,,,"Idaho",1006749
"G170","1990",,,,,,,,,,,,,,,,,"3",,,,,,,,"2","Illinois","17",,,,,"Illinois",11430602
"G180","1990",,,,,,,,,,,,,,,,,"3",,,,,,,,"2","Indiana","18",,,,,"Indiana",5544159
"G190","1990",,,,,,,,,,,,,,,,,"4",,,,,,,,"2","Iowa","19",,,,,"Iowa",2776755
"G200","1990",,,,,,,,,,,,,,,,,"4",,,,,,,,"2","Kansas","20",,,,,"Kansas",2477574
"G210","1990",,,,,,,,,,,,,,,,,"6",,,,,,,,"3","Kentucky","21",,,,,"Kentucky",3685296
"G220","1990",,,,,,,,,,,,,,,,,"7",,,,,,,,"3","Louisiana","22",,,,,"Louisiana",4219973
"G230","1990",,,,,,,,,,,,,,,,,"1",,,,,,,,"1","Maine","23",,,,,"Maine",1227928
"G240","1990",,,,,,,,,,,,,,,,,"5",,,,,,,,"3","Maryland","24",,,,,"Maryland",4781468
"G250","1990",,,,,,,,,,,,,,,,,"1",,,,,,,,"1","Massachusetts","25",,,,,"Massachusetts",6016425
"G260","1990",,,,,,,,,,,,,,,,,"3",,,,,,,,"2","Michigan","26",,,,,"Michigan",9295297
"G270","1990",,,,,,,,,,,,,,,,,"4",,,,,,,,"2","Minnesota","27",,,,,"Minnesota",4375099
"G280","1990",,,,,,,,,,,,,,,,,"6",,,,,,,,"3","Mississippi","28",,,,,"Mississippi",2573216
"G290","1990",,,,,,,,,,,,,,,,,"4",,,,,,,,"2","Missouri","29",,,,,"Missouri",5117073
"G300","1990",,,,,,,,,,,,,,,,,"8",,,,,,,,"4","Montana","30",,,,,"Montana",799065
"G310","1990",,,,,,,,,,,,,,,,,"4",,,,,,,,"2","Nebraska","31",,,,,"Nebraska",1578385
"G320","1990",,,,,,,,,,,,,,,,,"8",,,,,,,,"4","Nevada","32",,,,,"Nevada",1201833
"G330","1990",,,,,,,,,,,,,,,,,"1",,,,,,,,"1","New Hampshire","33",,,,,"New Hampshire",1109252
"G340","1990",,,,,,,,,,,,,,,,,"2",,,,,,,,"1","New Jersey","34",,,,,"New Jersey",7730188
"G350","1990",,,,,,,,,,,,,,,,,"8",,,,,,,,"4","New Mexico","35",,,,,"New Mexico",1515069
"G360","1990",,,,,,,,,,,,,,,,,"2",,,,,,,,"1","New York","36",,,,,"New York",17990455
"G370","1990",,,,,,,,,,,,,,,,,"5",,,,,,,,"3","North Carolina","37",,,,,"North Carolina",6628637
"G380","1990",,,,,,,,,,,,,,,,,"4",,,,,,,,"2","North Dakota","38",,,,,"North Dakota",638800
"G390","1990",,,,,,,,,,,,,,,,,"3",,,,,,,,"2","Ohio","39",,,,,"Ohio",10847115
"G400","1990",,,,,,,,,,,,,,,,,"7",,,,,,,,"3","Oklahoma","40",,,,,"Oklahoma",3145585
"G410","1990",,,,,,,,,,,,,,,,,"9",,,,,,,,"4","Oregon","41",,,,,"Oregon",2842321
"G420","1990",,,,,,,,,,,,,,,,,"2",,,,,,,,"1","Pennsylvania","42",,,,,"Pennsylvania",11881643
"G440","1990",,,,,,,,,,,,,,,,,"1",,,,,,,,"1","Rhode Island","44",,,,,"Rhode Island",1003464
"G450","1990",,,,,,,,,,,,,,,,,"5",,,,,,,,"3","South Carolina","45",,,,,"South Carolina",3486703
"G460","1990",,,,,,,,,,,,,,,,,"4",,,,,,,,"2","South Dakota","46",,,,,"South Dakota",696004
"G470","1990",,,,,,,,,,,,,,,,,"6",,,,,,,,"3","Tennessee","47",,,,,"Tennessee",4877185
"G480","1990",,,,,,,,,,,,,,,,,"7",,,,,,,,"3","Texas","48",,,,,"Texas",16986510
"G490","1990",,,,,,,,,,,,,,,,,"8",,,,,,,,"4","Utah","49",,,,,"Utah",1722850
"G500","1990",,,,,,,,,,,,,,,,,"1",,,,,,,,"1","Vermont","50",,,,,"Vermont",562758
"G510","1990",,,,,,,,,,,,,,,,,"5",,,,,,,,"3","Virginia","51",,,,,"Virginia",6187358
"G530","1990",,,,,,,,,,,,,,,,,"9",,,,,,,,"4","Washington","53",,,,,"Washington",4866692
"G540","1990",,,,,,,,,,,,,,,,,"5",,,,,,,,"3","West Virginia","54",,,,,"West Virginia",1793477
"G550","1990",,,,,,,,,,,,,,,,,"3",,,,,,,,"2","Wisconsin","55",,,,,"Wisconsin",4891769
"G560","1990",,,,,,,,,,,,,,,,,"8",,,,,,,,"4","Wyoming","56",,,,,"Wyoming",453588
